ID,Country,Province,Lat,Long,Confirmed,Recovered,Deaths,Date
91605,France,,14.6415,-56.3159,2.0,,,2020-01-24
95625,France,,14.6415,-56.3159,3.0,,,2020-01-25
99650,France,,14.6415,-56.3159,3.0,,,2020-01-26
103676,France,,14.6415,-56.3159,3.0,,,2020-01-27
107706,France,,14.6415,-56.3159,4.0,,,2020-01-28
107715,Germany,Bavaria,51.4332,9.9937,4.0,,,2020-01-28
111737,France,,14.6415,-56.3159,5.0,,,2020-01-29
111746,Germany,Bavaria,51.4332,9.9937,4.0,,,2020-01-29
111747,Finland,,61.92411,25.748151,1.0,,,2020-01-29
115771,France,,14.6415,-56.3159,5.0,,,2020-01-30
115781,Germany,Bavaria,51.4332,9.9937,4.0,,,2020-01-30
115782,Finland,,61.92411,25.748151,1.0,,,2020-01-30
119804,France,,14.6415,-56.3159,5.0,,,2020-01-31
119805,Germany,Bavaria,51.4332,9.9937,5.0,,,2020-01-31
119814,Italy,,43.61675973,12.38824698,2.0,,,2020-01-31
119815,United Kingdom,,55.0,-3.0,2.0,,,2020-01-31
119823,Finland,,61.92411,25.748151,1.0,,,2020-01-31
119826,Sweden,,59.535,15.5198,1.0,,,2020-01-31
123843,Germany,,51.4332,9.9937,8.0,0.0,0.0,2020-02-01
123845,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-01
123852,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-01
123854,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-01
123859,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-01
123864,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-01
123866,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-01
127887,Germany,,51.4332,9.9937,10.0,0.0,0.0,2020-02-02
127891,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-02
127900,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-02
127903,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-02
127907,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-02
127910,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-02
127912,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-02
131933,Germany,,51.4332,9.9937,12.0,0.0,0.0,2020-02-03
131938,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-03
131946,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-03
131949,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-03
131955,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-03
131958,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-03
131960,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-03
135980,Germany,,51.4332,9.9937,12.0,0.0,0.0,2020-02-04
135985,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-04
135993,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-04
135996,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-04
136000,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-04
136004,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-04
136007,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-04
136009,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-04
140029,Germany,,51.4332,9.9937,12.0,0.0,0.0,2020-02-05
140034,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-05
140043,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-05
140046,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-05
140050,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-05
140053,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-05
140056,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-05
140058,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-05
144080,Germany,,51.4332,9.9937,12.0,0.0,0.0,2020-02-06
144084,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-06
144093,Italy,,43.61675973,12.38824698,2.0,0.0,0.0,2020-02-06
144096,United Kingdom,,55.0,-3.0,2.0,0.0,0.0,2020-02-06
144100,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-06
144103,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-06
144106,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-06
144108,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-06
148120,Others,Cruise Ship,35.4437,139.638,61.0,0.0,0.0,2020-02-07
148131,Germany,,51.4332,9.9937,13.0,0.0,0.0,2020-02-07
148135,France,,14.6415,-56.3159,6.0,0.0,0.0,2020-02-07
148142,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-07
148144,United Kingdom,,55.0,-3.0,3.0,0.0,0.0,2020-02-07
148151,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-07
148154,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-07
148157,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-07
148159,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-07
152171,Others,Cruise Ship,35.4437,139.638,61.0,0.0,0.0,2020-02-08
152183,Germany,,51.4332,9.9937,13.0,0.0,0.0,2020-02-08
152185,France,,14.6415,-56.3159,11.0,0.0,0.0,2020-02-08
152193,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-08
152195,United Kingdom,,55.0,-3.0,3.0,0.0,0.0,2020-02-08
152202,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-08
152205,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-08
152208,Spain,,40.4168,-3.0977,1.0,0.0,0.0,2020-02-08
152210,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-08
156234,Germany,,51.4332,9.9937,14.0,0.0,0.0,2020-02-09
156236,France,,14.6415,-56.3159,11.0,0.0,0.0,2020-02-09
156244,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-09
156246,United Kingdom,,55.0,-3.0,3.0,0.0,0.0,2020-02-09
156250,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-09
156254,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-09
156257,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-09
156261,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-09
160285,Germany,,51.4332,9.9937,14.0,0.0,0.0,2020-02-10
160287,France,,14.6415,-56.3159,11.0,0.0,0.0,2020-02-10
160289,United Kingdom,,55.0,-3.0,8.0,0.0,0.0,2020-02-10
160296,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-10
160301,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-10
160305,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-10
160308,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-10
160312,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-10
164336,Germany,,51.4332,9.9937,16.0,0.0,0.0,2020-02-11
164338,France,,14.6415,-56.3159,11.0,0.0,0.0,2020-02-11
164340,United Kingdom,,55.0,-3.0,8.0,0.0,0.0,2020-02-11
164347,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-11
164352,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-11
164356,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-11
164359,Finland,,61.92411,25.748151,1.0,0.0,0.0,2020-02-11
164363,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-11
168388,Germany,,51.4332,9.9937,16.0,0.0,0.0,2020-02-12
168390,France,,14.6415,-56.3159,11.0,2.0,0.0,2020-02-12
168392,United Kingdom,,55.0,-3.0,9.0,1.0,0.0,2020-02-12
168399,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-12
168404,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-12
168408,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-12
168411,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-12
168415,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-12
172440,Germany,,51.4332,9.9937,16.0,1.0,0.0,2020-02-13
172442,France,,14.6415,-56.3159,11.0,2.0,0.0,2020-02-13
172444,United Kingdom,,55.0,-3.0,9.0,1.0,0.0,2020-02-13
172451,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-13
172456,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-13
172461,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-13
172464,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-13
172468,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-13
172514,Germany,,51.4332,9.9937,16.0,1.0,0.0,2020-02-14
172516,France,,14.6415,-56.3159,11.0,2.0,0.0,2020-02-14
172518,United Kingdom,,55.0,-3.0,9.0,1.0,0.0,2020-02-14
172525,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-14
172530,Spain,,40.4168,-3.0977,2.0,0.0,0.0,2020-02-14
172535,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-14
172539,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-14
172543,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-14
172589,Germany,,51.4332,9.9937,16.0,1.0,0.0,2020-02-15
172591,France,,14.6415,-56.3159,12.0,4.0,1.0,2020-02-15
172593,United Kingdom,,55.0,-3.0,9.0,1.0,0.0,2020-02-15
172600,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-15
172605,Spain,,40.4168,-3.0977,2.0,2.0,0.0,2020-02-15
172610,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-15
172614,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-15
172618,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-15
172664,Germany,,51.4332,9.9937,16.0,1.0,0.0,2020-02-16
172666,France,,14.6415,-56.3159,12.0,4.0,1.0,2020-02-16
172668,United Kingdom,,55.0,-3.0,9.0,8.0,0.0,2020-02-16
172675,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-16
172680,Spain,,40.4168,-3.0977,2.0,2.0,0.0,2020-02-16
172685,Belgium,,50.8333,4.469936,1.0,0.0,0.0,2020-02-16
172689,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-16
172693,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-16
172739,Germany,,51.4332,9.9937,16.0,1.0,0.0,2020-02-17
172741,France,,14.6415,-56.3159,12.0,4.0,1.0,2020-02-17
172743,United Kingdom,,55.0,-3.0,9.0,8.0,0.0,2020-02-17
172750,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-17
172755,Spain,,40.4168,-3.0977,2.0,2.0,0.0,2020-02-17
172760,Belgium,,50.8333,4.469936,1.0,1.0,0.0,2020-02-17
172764,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-17
172768,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-17
172814,Germany,,51.4332,9.9937,16.0,12.0,0.0,2020-02-18
172816,France,,14.6415,-56.3159,12.0,4.0,1.0,2020-02-18
172818,United Kingdom,,55.0,-3.0,9.0,8.0,0.0,2020-02-18
172825,Italy,,43.61675973,12.38824698,3.0,0.0,0.0,2020-02-18
172830,Spain,,40.4168,-3.0977,2.0,2.0,0.0,2020-02-18
172835,Belgium,,50.8333,4.469936,1.0,1.0,0.0,2020-02-18
172839,Finland,,61.92411,25.748151,1.0,1.0,0.0,2020-02-18
172843,Sweden,,59.535,15.5198,1.0,0.0,0.0,2020-02-18
172889,Germany,,51.4332,9.9937,16.0,12.0,0.0,2020-02-19
